p,rep,level,eig_idx,method,pop_eig,sample_eig
10,15,E,1,REML,1,1.158996279
10,15,E,2,REML,1,1.143017649
10,15,E,3,REML,1,1.097780146
10,15,E,4,REML,1,1.06512999
10,15,E,5,REML,1,1.013117162
10,16,A,1,REML,1,2.803817075
10,16,A,2,REML,1,2.154234168
10,16,A,3,REML,1,1.775515966
10,16,A,4,REML,1,1.55251921
10,16,A,5,REML,1,0.871571005
10,16,B,1,REML,4,5.541333915
10,16,B,2,REML,4,5.116997643
10,16,B,3,REML,4,4.776432376
10,16,B,4,REML,4,4.319626728
10,16,B,5,REML,4,4.019742698
10,16,E,1,REML,1,1.169213957
10,16,E,2,REML,1,1.139192799
10,16,E,3,REML,1,1.099246775
10,16,E,4,REML,1,1.055641157
10,16,E,5,REML,1,1.050460432
10,17,A,1,REML,1,2.513915548
10,17,A,2,REML,1,2.126562346
10,17,A,3,REML,1,1.857590259
10,17,A,4,REML,1,1.510051914
10,17,A,5,REML,1,1.253301074
10,17,B,1,REML,4,5.823411354
10,17,B,2,REML,4,4.765468279
10,17,B,3,REML,4,4.548457831
10,17,B,4,REML,4,4.28505348
10,17,B,5,REML,4,3.952263716
10,17,E,1,REML,1,1.19511849
10,17,E,2,REML,1,1.161353468
10,17,E,3,REML,1,1.079353898
10,17,E,4,REML,1,1.020918266
10,17,E,5,REML,1,1.012647412
10,18,A,1,REML,1,2.151262959
10,18,A,2,REML,1,1.921388395
10,18,A,3,REML,1,1.360595417
10,18,A,4,REML,1,1.23783526
10,18,A,5,REML,1,1.099292558
10,18,B,1,REML,4,5.934286408
10,18,B,2,REML,4,5.736290964
10,18,B,3,REML,4,5.510408035
10,18,B,4,REML,4,4.713273239
10,18,B,5,REML,4,4.161729628
10,18,E,1,REML,1,1.157821136
10,18,E,2,REML,1,1.138227518
10,18,E,3,REML,1,1.09059513
10,18,E,4,REML,1,1.044497497
10,18,E,5,REML,1,1.02180196
10,19,A,1,REML,1,2.417146988
10,19,A,2,REML,1,2.036753493
10,19,A,3,REML,1,1.665087715
10,19,A,4,REML,1,1.360388503
10,19,A,5,REML,1,1.168725445
10,19,B,1,REML,4,5.546536084
10,19,B,2,REML,4,5.063999352
10,19,B,3,REML,4,4.528708779
10,19,B,4,REML,4,4.391044373
10,19,B,5,REML,4,4.172208301
10,19,E,1,REML,1,1.195816179
10,19,E,2,REML,1,1.148364952
10,19,E,3,REML,1,1.080714073
10,19,E,4,REML,1,1.058250903
10,19,E,5,REML,1,0.995041513
10,20,A,1,REML,1,2.641889194
10,20,A,2,REML,1,2.039155537
10,20,A,3,REML,1,1.39762085
10,20,A,4,REML,1,1.127279838
10,20,A,5,REML,1,0.775957869
10,20,B,1,REML,4,5.319781016
10,20,B,2,REML,4,5.144584731
10,20,B,3,REML,4,4.76938825
10,20,B,4,REML,4,4.332497802
10,20,B,5,REML,4,4.275549396
10,20,E,1,REML,1,1.157160122
10,20,E,2,REML,1,1.102600516
10,20,E,3,REML,1,1.09353098
10,20,E,4,REML,1,1.058739964
10,20,E,5,REML,1,1.023630646
10,21,A,1,REML,1,2.272487988
10,21,A,2,REML,1,1.721275114
10,21,A,3,REML,1,1.57953509
10,21,A,4,REML,1,1.169983121
10,21,A,5,REML,1,0.912705315
10,21,B,1,REML,4,5.423576546
10,21,B,2,REML,4,4.998045978
10,21,B,3,REML,4,4.655679914
10,21,B,4,REML,4,4.311603109
10,21,B,5,REML,4,4.040720167
10,21,E,1,REML,1,1.198252046
10,21,E,2,REML,1,1.120395885
10,21,E,3,REML,1,1.07661456
10,21,E,4,REML,1,1.043899031
10,21,E,5,REML,1,0.971919012
10,22,A,1,REML,1,2.764193257
10,22,A,2,REML,1,2.223164527
10,22,A,3,REML,1,2.018015374
10,22,A,4,REML,1,1.440310195
10,22,A,5,REML,1,1.222505416
10,22,B,1,REML,4,5.653217935
10,22,B,2,REML,4,5.182721234
10,22,B,3,REML,4,4.286206158
10,22,B,4,REML,4,4.000550616
10,22,B,5,REML,4,3.71767365
10,22,E,1,REML,1,1.208196992
10,22,E,2,REML,1,1.129438949
10,22,E,3,REML,1,1.10761908
10,22,E,4,REML,1,1.050103735
10,22,E,5,REML,1,1.020393501
10,23,A,1,REML,1,2.89985651
10,23,A,2,REML,1,2.389549874
10,23,A,3,REML,1,1.653765366
10,23,A,4,REML,1,1.179301531
10,23,A,5,REML,1,1.014410597
10,23,B,1,REML,4,5.530928227
10,23,B,2,REML,4,5.021885111
10,23,B,3,REML,4,4.558925372
10,23,B,4,REML,4,4.427007517
10,23,B,5,REML,4,4.139284808
10,23,E,1,REML,1,1.164494386
10,23,E,2,REML,1,1.116032571
10,23,E,3,REML,1,1.054979766
10,23,E,4,REML,1,1.04058552
10,23,E,5,REML,1,1.006147284
10,24,A,1,REML,1,2.286940907
10,24,A,2,REML,1,2.21817003
10,24,A,3,REML,1,1.641091786
10,24,A,4,REML,1,1.375710262
10,24,A,5,REML,1,1.178409304
10,24,B,1,REML,4,5.65319753
10,24,B,2,REML,4,5.375711249
10,24,B,3,REML,4,5.014862627
10,24,B,4,REML,4,4.88592806
10,24,B,5,REML,4,4.253042375
10,24,E,1,REML,1,1.169743316
10,24,E,2,REML,1,1.111340737
10,24,E,3,REML,1,1.09802338
10,24,E,4,REML,1,1.092135431
10,24,E,5,REML,1,1.028061291
10,25,A,1,REML,1,2.675204225
10,25,A,2,REML,1,1.756869115
10,25,A,3,REML,1,1.376574804
10,25,A,4,REML,1,1.227952693
10,25,A,5,REML,1,0.92374724
10,25,B,1,REML,4,5.305900177
10,25,B,2,REML,4,5.238576483
10,25,B,3,REML,4,4.866332469
10,25,B,4,REML,4,4.376438341
10,25,B,5,REML,4,3.984367871
10,25,E,1,REML,1,1.17344166
10,25,E,2,REML,1,1.099374221
10,25,E,3,REML,1,1.07412267
10,25,E,4,REML,1,1.020486344
10,25,E,5,REML,1,0.98574757
10,26,A,1,REML,1,3.007209601
10,26,A,2,REML,1,2.230409362
10,26,A,3,REML,1,1.702812828
10,26,A,4,REML,1,1.481273018
10,26,A,5,REML,1,1.339693516
10,26,B,1,REML,4,5.352966737
10,26,B,2,REML,4,5.238238105
10,26,B,3,REML,4,4.470309463
10,26,B,4,REML,4,4.179849441
10,26,B,5,REML,4,3.974503192
10,26,E,1,REML,1,1.115795158
10,26,E,2,REML,1,1.096325633
10,26,E,3,REML,1,1.077986291
10,26,E,4,REML,1,1.054868407
10,26,E,5,REML,1,1.013920706
10,27,A,1,REML,1,2.224556483
10,27,A,2,REML,1,1.910109564
10,27,A,3,REML,1,1.75040016
10,27,A,4,REML,1,1.348239858
10,27,A,5,REML,1,1.182010058
10,27,B,1,REML,4,5.672904933
10,27,B,2,REML,4,5.353269671
10,27,B,3,REML,4,4.650394975
10,27,B,4,REML,4,4.393267924
10,27,B,5,REML,4,4.15447934
10,27,E,1,REML,1,1.187609958
10,27,E,2,REML,1,1.088891805
10,27,E,3,REML,1,1.08262662
10,27,E,4,REML,1,1.013215957
10,27,E,5,REML,1,0.983507619
10,28,A,1,REML,1,2.532646074
10,28,A,2,REML,1,2.196219726
10,28,A,3,REML,1,1.743448257
10,28,A,4,REML,1,1.262511286
10,28,A,5,REML,1,1.113242674
10,28,B,1,REML,4,5.803714251
10,28,B,2,REML,4,4.92863022
10,28,B,3,REML,4,4.741598822
10,28,B,4,REML,4,4.405566155
10,28,B,5,REML,4,4.37039158
10,28,E,1,REML,1,1.193458956
10,28,E,2,REML,1,1.131333435
10,28,E,3,REML,1,1.091462746
10,28,E,4,REML,1,1.054678372
10,28,E,5,REML,1,0.995498495
10,29,A,1,REML,1,2.289212443
10,29,A,2,REML,1,1.9946312
10,29,A,3,REML,1,1.721854697
10,29,A,4,REML,1,1.383138998
10,29,A,5,REML,1,1.143018032
10,29,B,1,REML,4,5.627033786
10,29,B,2,REML,4,5.104555734
10,29,B,3,REML,4,4.71575737
10,29,B,4,REML,4,4.625452101
10,29,B,5,REML,4,4.273315848
10,29,E,1,REML,1,1.131884211
10,29,E,2,REML,1,1.122363691
10,29,E,3,REML,1,1.086538704
10,29,E,4,REML,1,1.066314748
10,29,E,5,REML,1,1.019723297
10,30,A,1,REML,1,2.096296507
10,30,A,2,REML,1,1.623921883
10,30,A,3,REML,1,1.023654463
10,30,A,4,REML,1,0.690838723
10,30,A,5,REML,1,0.646449682
10,30,B,1,REML,4,5.521216164
10,30,B,2,REML,4,5.008447833
10,30,B,3,REML,4,4.761372373
10,30,B,4,REML,4,4.228251417
10,30,B,5,REML,4,4.079445703
10,30,E,1,REML,1,1.173329766
10,30,E,2,REML,1,1.068974809
10,30,E,3,REML,1,1.034655395
10,30,E,4,REML,1,0.998401202
10,30,E,5,REML,1,0.979683842
10,31,A,1,REML,1,2.521824184
10,31,A,2,REML,1,2.064951024
10,31,A,3,REML,1,1.569097785
10,31,A,4,REML,1,1.262761891
10,31,A,5,REML,1,1.037555197
10,31,B,1,REML,4,5.55545583
10,31,B,2,REML,4,5.168991476
10,31,B,3,REML,4,4.742261063
10,31,B,4,REML,4,4.249770558
10,31,B,5,REML,4,3.940225711
10,31,E,1,REML,1,1.193177376
10,31,E,2,REML,1,1.136155643
10,31,E,3,REML,1,1.068931865
10,31,E,4,REML,1,1.032834252
10,31,E,5,REML,1,0.999623885
10,32,A,1,REML,1,2.14280602
10,32,A,2,REML,1,1.88272657
10,32,A,3,REML,1,1.30089891
10,32,A,4,REML,1,1.14010561
10,32,A,5,REML,1,0.758558247
10,32,B,1,REML,4,5.745365544
10,32,B,2,REML,4,5.29388677
10,32,B,3,REML,4,4.669524791
10,32,B,4,REML,4,4.493255816
10,32,B,5,REML,4,4.172369946
10,32,E,1,REML,1,1.145735116
10,32,E,2,REML,1,1.091313092
10,32,E,3,REML,1,1.055842917
10,32,E,4,REML,1,1.029348213
10,32,E,5,REML,1,1.017056813
10,33,A,1,REML,1,2.437925614
10,33,A,2,REML,1,1.873767202
10,33,A,3,REML,1,1.745279388
10,33,A,4,REML,1,1.227275871
10,33,A,5,REML,1,1.031020678
10,33,B,1,REML,4,5.613607881
10,33,B,2,REML,4,4.941824378
10,33,B,3,REML,4,4.78117056
10,33,B,4,REML,4,4.565429714
10,33,B,5,REML,4,4.144972234
10,33,E,1,REML,1,1.143387442
