p,rep,level,eig_idx,method,pop_eig,sample_eig
10,11,A,3,MANOVA,1,0.966064434
10,11,A,4,MANOVA,1,0.79727021
10,11,A,5,MANOVA,1,0.664944656
10,11,B,1,MANOVA,4,5.339389452
10,11,B,2,MANOVA,4,4.753950354
10,11,B,3,MANOVA,4,3.205732142
10,11,B,4,MANOVA,4,2.706277648
10,11,B,5,MANOVA,4,0.034896594
10,11,E,1,MANOVA,1,1.138375026
10,11,E,2,MANOVA,1,1.11366429
10,11,E,3,MANOVA,1,1.089069185
10,11,E,4,MANOVA,1,1.061194932
10,11,E,5,MANOVA,1,0.997356656
10,11,A,1,REML,1,1.719887768
10,11,A,2,REML,1,1.316093032
10,11,A,3,REML,1,0.969538478
10,11,A,4,REML,1,0.799285819
10,11,A,5,REML,1,0.658174479
10,11,B,1,REML,4,5.015620685
10,11,B,2,REML,4,4.265838851
10,11,B,3,REML,4,3.193840764
10,11,B,4,REML,4,2.704605605
10,11,B,5,REML,4,0.032387396
10,11,E,1,REML,1,1.124037595
10,11,E,2,REML,1,1.103307287
10,11,E,3,REML,1,1.072509148
10,11,E,4,REML,1,1.04334783
10,11,E,5,REML,1,0.985702612
10,12,A,1,MANOVA,1,1.489719223
10,12,A,2,MANOVA,1,1.265195685
10,12,A,3,MANOVA,1,1.237484775
10,12,A,4,MANOVA,1,1.024272716
10,12,A,5,MANOVA,1,0.727137847
10,12,B,1,MANOVA,4,4.750635784
10,12,B,2,MANOVA,4,3.969254486
10,12,B,3,MANOVA,4,3.707970763
10,12,B,4,MANOVA,4,3.443912597
10,12,B,5,MANOVA,4,0.063462511
10,12,E,1,MANOVA,1,1.141911593
10,12,E,2,MANOVA,1,1.083628236
10,12,E,3,MANOVA,1,1.065760182
10,12,E,4,MANOVA,1,1.051404584
10,12,E,5,MANOVA,1,0.991424097
10,12,A,1,REML,1,1.494080834
10,12,A,2,REML,1,1.262266686
10,12,A,3,REML,1,1.235322784
10,12,A,4,REML,1,1.024844689
10,12,A,5,REML,1,0.731821036
10,12,B,1,REML,4,4.557278311
10,12,B,2,REML,4,3.80268826
10,12,B,3,REML,4,3.455208535
10,12,B,4,REML,4,3.36224434
10,12,B,5,REML,4,0.059636273
10,12,E,1,REML,1,1.124318118
10,12,E,2,REML,1,1.076044289
10,12,E,3,REML,1,1.049352458
10,12,E,4,REML,1,1.038771429
10,12,E,5,REML,1,0.973291447
10,13,A,1,MANOVA,1,1.369377623
10,13,A,2,MANOVA,1,1.239191261
10,13,A,3,MANOVA,1,0.990420907
10,13,A,4,MANOVA,1,0.689745148
10,13,A,5,MANOVA,1,0.644498352
10,13,B,1,MANOVA,4,4.789379332
10,13,B,2,MANOVA,4,4.289050689
10,13,B,3,MANOVA,4,3.779316107
10,13,B,4,MANOVA,4,3.017701165
10,13,B,5,MANOVA,4,0.03996404
10,13,E,1,MANOVA,1,1.158960453
10,13,E,2,MANOVA,1,1.073894327
10,13,E,3,MANOVA,1,1.059586068
10,13,E,4,MANOVA,1,1.025365953
10,13,E,5,MANOVA,1,1.022281359
10,13,A,1,REML,1,1.365789595
10,13,A,2,REML,1,1.238723302
10,13,A,3,REML,1,0.988475479
10,13,A,4,REML,1,0.69252649
10,13,A,5,REML,1,0.648155762
10,13,B,1,REML,4,4.54680335
10,13,B,2,REML,4,4.21618164
10,13,B,3,REML,4,3.717151024
10,13,B,4,REML,4,2.822206309
10,13,B,5,REML,4,0.039914646
10,13,E,1,REML,1,1.150497883
10,13,E,2,REML,1,1.072475267
10,13,E,3,REML,1,1.05041948
10,13,E,4,REML,1,1.013670543
10,13,E,5,REML,1,1.00307116
10,14,A,1,MANOVA,1,1.381827784
10,14,A,2,MANOVA,1,1.126402682
10,14,A,3,MANOVA,1,1.005252252
10,14,A,4,MANOVA,1,0.880030557
10,14,A,5,MANOVA,1,0.780639198
10,14,B,1,MANOVA,4,4.101989767
10,14,B,2,MANOVA,4,3.842269555
10,14,B,3,MANOVA,4,3.610816471
10,14,B,4,MANOVA,4,3.04532479
10,14,B,5,MANOVA,4,0.027831521
10,14,E,1,MANOVA,1,1.173812812
10,14,E,2,MANOVA,1,1.112075298
10,14,E,3,MANOVA,1,1.082782465
10,14,E,4,MANOVA,1,1.057159544
10,14,E,5,MANOVA,1,1.020600212
10,14,A,1,REML,1,1.379124326
10,14,A,2,REML,1,1.128617499
10,14,A,3,REML,1,1.011312872
10,14,A,4,REML,1,0.89123412
10,14,A,5,REML,1,0.779575311
10,14,B,1,REML,4,3.836995422
10,14,B,2,REML,4,3.544077278
10,14,B,3,REML,4,3.337391986
10,14,B,4,REML,4,3.025740111
10,14,B,5,REML,4,0.025465507
10,14,E,1,REML,1,1.167469106
10,14,E,2,REML,1,1.104103072
10,14,E,3,REML,1,1.072274672
10,14,E,4,REML,1,1.049908634
10,14,E,5,REML,1,1.01377792
10,15,A,1,MANOVA,1,1.368002429
10,15,A,2,MANOVA,1,1.251864412
10,15,A,3,MANOVA,1,1.018496805
10,15,A,4,MANOVA,1,0.980700143
10,15,A,5,MANOVA,1,0.80056556
10,15,B,1,MANOVA,4,4.838635234
10,15,B,2,MANOVA,4,4.510418894
10,15,B,3,MANOVA,4,3.517578885
10,15,B,4,MANOVA,4,2.770529278
10,15,B,5,MANOVA,4,0.050420008
10,15,E,1,MANOVA,1,1.159126396
10,15,E,2,MANOVA,1,1.118456508
10,15,E,3,MANOVA,1,1.057584593
10,15,E,4,MANOVA,1,1.034923714
10,15,E,5,MANOVA,1,1.007086621
10,15,A,1,REML,1,1.388531677
10,15,A,2,REML,1,1.245294069
10,15,A,3,REML,1,1.035581865
10,15,A,4,REML,1,0.979887333
10,15,A,5,REML,1,0.799512223
10,15,B,1,REML,4,4.502414418
10,15,B,2,REML,4,3.871251648
10,15,B,3,REML,4,3.383067463
10,15,B,4,REML,4,2.722906256
10,15,B,5,REML,4,0.043530523
10,15,E,1,REML,1,1.152566319
10,15,E,2,REML,1,1.1047052
10,15,E,3,REML,1,1.034606378
10,15,E,4,REML,1,1.023652569
10,15,E,5,REML,1,0.992245856
10,16,A,1,MANOVA,1,1.249311653
10,16,A,2,MANOVA,1,1.073302626
10,16,A,3,MANOVA,1,0.849605839
10,16,A,4,MANOVA,1,0.705186117
10,16,A,5,MANOVA,1,0.548277411
10,16,B,1,MANOVA,4,5.463026117
10,16,B,2,MANOVA,4,4.583612296
10,16,B,3,MANOVA,4,4.478365869
10,16,B,4,MANOVA,4,3.632619119
10,16,B,5,MANOVA,4,0.075951572
10,16,E,1,MANOVA,1,1.137508581
10,16,E,2,MANOVA,1,1.110208139
10,16,E,3,MANOVA,1,1.078971497
10,16,E,4,MANOVA,1,1.026871769
10,16,E,5,MANOVA,1,0.989957998
10,16,A,1,REML,1,1.266144405
10,16,A,2,REML,1,1.072932752
10,16,A,3,REML,1,0.85017464
10,16,A,4,REML,1,0.709282285
10,16,A,5,REML,1,0.582441075
10,16,B,1,REML,4,5.010384487
10,16,B,2,REML,4,4.275028312
10,16,B,3,REML,4,4.095800632
10,16,B,4,REML,4,3.456619167
10,16,B,5,REML,4,0.074183795
10,16,E,1,REML,1,1.135739149
10,16,E,2,REML,1,1.102932438
10,16,E,3,REML,1,1.060136523
10,16,E,4,REML,1,1.009566278
10,16,E,5,REML,1,0.988878457
10,17,A,1,MANOVA,1,1.440012137
10,17,A,2,MANOVA,1,1.271161202
10,17,A,3,MANOVA,1,1.072464301
10,17,A,4,MANOVA,1,0.897145534
10,17,A,5,MANOVA,1,0.644751712
10,17,B,1,MANOVA,4,4.280786711
10,17,B,2,MANOVA,4,3.741374516
10,17,B,3,MANOVA,4,3.53219238
10,17,B,4,MANOVA,4,3.20284318
10,17,B,5,MANOVA,4,0.065837549
10,17,E,1,MANOVA,1,1.156740007
10,17,E,2,MANOVA,1,1.091538306
10,17,E,3,MANOVA,1,1.054850756
10,17,E,4,MANOVA,1,1.018172925
10,17,E,5,MANOVA,1,1.011550227
10,17,A,1,REML,1,1.436784251
10,17,A,2,REML,1,1.271935227
10,17,A,3,REML,1,1.066317084
10,17,A,4,REML,1,0.897721292
10,17,A,5,REML,1,0.638473054
10,17,B,1,REML,4,4.080296739
10,17,B,2,REML,4,3.552520479
10,17,B,3,REML,4,3.517704377
10,17,B,4,REML,4,3.190490102
10,17,B,5,REML,4,0.062434143
10,17,E,1,REML,1,1.125730384
10,17,E,2,REML,1,1.077763892
10,17,E,3,REML,1,1.035455588
10,17,E,4,REML,1,1.016659339
10,17,E,5,REML,1,0.999042702
10,18,A,1,MANOVA,1,1.392226509
10,18,A,2,MANOVA,1,1.355060733
10,18,A,3,MANOVA,1,0.993743021
10,18,A,4,MANOVA,1,0.975422542
